item,category,current_stock,minimum_stock,maximum_stock,unit,supplier
Garlic Bread Base,Bakery,70,30,99,pieces,Artisan Bakehouse
Frozen Fries,Frozen,67,29,85,kg,IceCold Foods Ltd.
Frozen Mixed Berries,Frozen,26,39,125,kg,IceCold Foods Ltd.
Ice Cream Base - Vanilla,Frozen,39,37,57,litres,IceCold Foods Ltd.
Frozen Chicken Patties,Frozen,33,25,97,kg,IceCold Foods Ltd.
Frozen Veggie Patties,Frozen,7,11,62,kg,IceCold Foods Ltd.
Frozen Pastry Sheets,Frozen,95,46,152,packets,IceCold Foods Ltd.
Frozen Peas,Frozen,107,50,106,kg,IceCold Foods Ltd.
Frozen Corn,Frozen,100,37,94,kg,IceCold Foods Ltd.
Delivery Boxes - Pizza,Packaging,112,176,265,pieces,PackRight Supplies
Delivery Bags,Packaging,22,35,176,pieces,PackRight Supplies
Takeaway Cups,Packaging,187,93,189,pieces,PackRight Supplies
Cup Lids,Packaging,183,83,316,pieces,PackRight Supplies
Paper Napkins,Packaging,67,73,98,packets,PackRight Supplies
Disposable Cutlery Sets,Packaging,49,67,133,packets,PackRight Supplies
Paper Straws,Packaging,72,45,77,packets,PackRight Supplies
Food Wrap Paper,Packaging,62,40,64,boxes,PackRight Supplies
Dish Soap,Cleaning,75,32,86,bottles,SparkleClean Wholesale
Surface Sanitizer,Cleaning,39,30,68,bottles,SparkleClean Wholesale
Floor Cleaner,Cleaning,22,13,47,litres,SparkleClean Wholesale
Glass Cleaner,Cleaning,20,20,58,bottles,SparkleClean Wholesale
Hand Soap,Cleaning,53,37,69,bottles,SparkleClean Wholesale
Trash Bags,Cleaning,50,46,61,packets,SparkleClean Wholesale
Kitchen Towels,Cleaning,110,63,146,packets,SparkleClean Wholesale
Disinfectant Spray,Cleaning,53,45,94,bottles,SparkleClean Wholesale
Ketchup,Condiments,56,50,124,bottles,Fresh Fields Foods
Mayonnaise,Condiments,60,35,94,bottles,Fresh Fields Foods
Mustard Sauce,Condiments,37,31,90,bottles,Fresh Fields Foods
Hot Sauce,Condiments,39,36,96,bottles,Fresh Fields Foods
BBQ Sauce,Condiments,16,18,35,bottles,Fresh Fields Foods
Pesto Sauce,Condiments,37,34,63,bottles,Fresh Fields Foods
Salad Dressing,Condiments,30,27,42,bottles,Fresh Fields Foods
Pizza Sauce,Condiments,27,8,92,kg,Fresh Fields Foods
Pasta - Penne,Dry Goods,53,42,66,kg,Bella Italia Imports
Pasta - Fettuccine,Dry Goods,49,47,62,kg,Bella Italia Imports
All-Purpose Flour,Dry Goods,69,21,111,kg,Bella Italia Imports
Sugar,Dry Goods,39,17,61,kg,Fresh Fields Foods
Rice,Dry Goods,120,46,104,kg,Fresh Fields Foods
Oats,Dry Goods,49,15,41,kg,Fresh Fields Foods
Chocolate Chips,Dry Goods,29,37,110,kg,CocoaCraft Suppliers
Cocoa Powder,Dry Goods,24,27,49,kg,CocoaCraft Suppliers
Orange Juice Concentrate,Beverages,61,14,69,litres,Tropicana Foodservice
Apple Juice Concentrate,Beverages,44,24,97,litres,Tropicana Foodservice
Tea Leaves - Black,Beverages,44,41,55,kg,Nilgiri Tea Traders
Tea Leaves - Green,Beverages,36,41,99,kg,Nilgiri Tea Traders
Soda Syrup - Cola,Beverages,62,50,62,bottles,Sparkle Beverages Co.
Soda Syrup - Lemon,Beverages,80,39,86,bottles,Sparkle Beverages Co.
Bottled Water,Beverages,70,10,61,boxes,AquaPure Distributors
Milkshake Mix - Chocolate,Beverages,99,41,99,kg,CocoaCraft Suppliers
